"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",4200,140,2100,30,30,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",33170,408,6120,81.3,90,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",48550,605,9075,80.25,90,"2015-01-08"
"1.5KG POCKET","NAVEL,CL 1,L,*,*",120,3,4.5,40,40,"2015-01-13"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",14725,128,1920,115.04,120,"2015-01-13"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,90,*",8050,70,1050,115,115,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",50,1,15,50,50,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",6160,56,840,110,110,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",5390,49,735,110,110,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",6620,62,930,106.77,110,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",33310,350,5250,95.17,120,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",12315,119,1785,103.49,110,"2015-01-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",18215,232,3480,78.51,90,"2015-01-13"
"10KG JUMBLE CARTON","VALENCIA,CL 2,L,*,*",560,8,80,70,70,"2015-01-14"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",50,1,10,50,50,"2015-01-14"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",7970,72,1080,110.69,120,"2015-01-14"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,90,*",880,8,120,110,110,"2015-01-14"
"15KG CARTON TELESCOPIC","CARA CARA NAVEL,CL 1,*,105,*",60,3,45,20,20,"2015-01-14"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",1020,51,765,20,20,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",95,1,15,95,95,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",10500,210,3150,50,50,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",400,5,75,80,80,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",4000,80,1200,50,50,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",8000,160,2400,50,50,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",16000,320,4800,50,50,"2015-01-14"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",29340,387,5805,75.81,80,"2015-01-14"
"10KG CARTON TELESCOPIC","VALENCIA,CL 2,M,*,*",1245,23,230,54.13,60,"2015-01-17"
"10KG JUMBLE CARTON","VALENCIA,CL 2,L,*,*",70,1,10,70,70,"2015-01-17"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",3555,79,790,45,45,"2015-01-17"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,60,*",9750,195,2925,50,50,"2015-01-17"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,70,*",19800,410,6150,48.29,50,"2015-01-17"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,90,*",26920,267,4005,100.82,110,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",5120,128,1920,40,40,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",3520,44,660,80,80,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",9680,241,3615,40.17,80,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",13040,309,4635,42.2,80,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",24120,603,9045,40,40,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,105,*",17400,404,6060,43.07,50,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",6400,160,2400,40,40,"2015-01-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",3200,80,1200,40,40,"2015-01-17"
