UnitMass,ProductName,tvaluesold,tquantitysold,tkgsold,avgprice,highestprice,date
18.50KG CARTON,"TOPRED,CL 1,60",880,4,74,220,220,17/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,100",8820,40,740,220.5,230,17/11/14
18.50KG CARTON,"TOPRED,CL 1,70",3420,44,814,77.73,260,17/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,90",11270,49,906.5,230,230,17/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,135",900,5,92.5,180,180,17/11/14
18.50KG CARTON,"STARKING,CL 1,135",950,5,92.5,190,190,17/11/14
18.50KG CARTON,"TOPRED,CL 1,198",7020,52,962,135,135,17/11/14
18.50KG CARTON,"STARKING,CL 1,110",10310,54,999,190.93,200,17/11/14
18.50KG CARTON,"TOPRED,CL 1,110",13020,63,1165.5,206.67,230,17/11/14
18.50KG CARTON,"ROYAL GALA,CL 1,110",1260,7,129.5,180,180,17/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,120",15080,81,1498.5,186.17,200,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,100",16460,87,1609.5,189.2,220,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",18060,89,1646.5,202.92,210,17/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,80",220,1,18.5,220,220,17/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,110",230,1,18.5,230,230,19/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,216",140,1,18.5,140,140,19/11/14
18.50KG CARTON,"TOPRED,CL 1,198",150,1,18.5,150,150,19/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,120",20000,100,1850,200,200,19/11/14
18.50KG CARTON,"TOPRED,CL 1,90",22890,106,1961,215.94,250,19/11/14
18.50KG CARTON,"TOPRED,CL 1,120",16375,108,1998,151.62,220,19/11/14
18.50KG CARTON,"STARKING,CL 1,100",21850,109,2016.5,200.46,250,19/11/14
18.50KG CARTON,"TOPRED,CL 1,135",20010,113,2090.5,177.08,190,19/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",23710,128,2368,185.23,220,19/11/14
18.50KG CARTON,"STARKING,CL 1,110",27020,139,2571.5,194.39,210,19/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,165",19110,147,2719.5,130,130,19/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,120",2840,15,277.5,189.33,190,19/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,110",31800,162,2997,196.3,220,19/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,70",3870,18,333,215,220,19/11/14
18.50KG CARTON,"TOPRED,CL 1,80",25310,180,3330,140.61,260,19/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",34610,198,3663,174.8,190,19/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,90",410,2,37,205,210,19/11/14
18.50KG CARTON,"FUJI,CL 1,70",460,2,37,230,230,19/11/14
18.50KG CARTON,"STARKING,CL 1,135",380,2,37,190,190,19/11/14
18.50KG CARTON,"TOPRED,CL 1,100",44040,205,3792.5,214.83,230,19/11/14
18.50KG CARTON,"TOPRED,CL 1,60",4620,21,388.5,220,220,19/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,100",44970,233,4310.5,193,230,19/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,135",4680,26,481,180,180,19/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,80",6260,27,499.5,231.85,240,19/11/14
